Name,A,B,C,D,E,magimin summary,Magimin Balance,Total Magimin,(Base) Price,Magimin Ratio,Is Known Ingredient,Amount Owned,Taste,Touch,Smell,Sight,Sound,Type,Rarity,Location,Usefull for at least 1 Perfect Brew,Usefull for perfect brew; Health Potion,Usefull for perfect brew; Mana Potion,Usefull for perfect brew; Stamina Potion,Usefull for perfect brew; Speed Potion,Usefull for perfect brew; Tolerance Potion,Usefull for perfect brew; Fire Tonic,Usefull for perfect brew; Ice Tonic,Usefull for perfect brew; Thunder Tonic,Usefull for perfect brew; Shadow Tonic,Usefull for perfect brew; Radiation Tonic,Usefull for perfect brew; Sight Enhancer,Usefull for perfect brew; Alertness Enhancer,Usefull for perfect brew; Insight Enhancer,Usefull for perfect brew; Dowsing Enhancer,Usefull for perfect brew; Seeking Enhancer,Usefull for perfect brew; Poison Cure,Usefull for perfect brew; Drowsiness Cure,Usefull for perfect brew; Petrification Cure,Usefull for perfect brew; Silence Cure,Usefull for perfect brew; Curse Cure
Fire Flower,40,0,0,20,0,40:0:0:20:0,2:0:0:1:0,60,55,1.091,FALSE,0,0,0,-5,0,0,Flower,Rare,Storm Plains,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Frog Leg,0,0,24,12,0,0:0:24:12:0,0:0:2:1:0,36,33,1.091,FALSE,0,0,0,0,-5,0,Flesh,Epic,Bone Wastes,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Frost Hopper,33,33,44,44,0,33:33:44:44:0,3:3:4:4:0,154,196,0.786,FALSE,0,5,-5,0,0,0,Bug,Common,Arctic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Fulgurite Ore,0,0,0,30,0,0:0:0:30:0,0:0:0:1:0,30,40,0.750,FALSE,0,0,0,0,0,0,Ores,Uncommon,Storm Plains,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Funeral Pyre Enoki,88,88,44,44,0,88:88:44:44:0,2:2:1:1:0,264,280,0.943,FALSE,0,0,-5,-5,0,0,Fungus,Epic,Dragon Oasis,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Geode Citrus,0,16,0,0,48,0:16:0:0:48,0:1:0:0:3,64,94,0.681,FALSE,0,0,0,0,0,0,Fruit,Uncommon,Crystalline Forest,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Ghostlight Bloom,18,0,0,6,0,18:0:0:6:0,3:0:0:1:0,24,28,0.857,FALSE,0,0,0,0,0,0,Flower,Uncommon,Mushroom Mire,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Giantstool Mushroom,0,20,0,0,0,0:20:0:0:0,0:1:0:0:0,20,40,0.500,FALSE,0,0,5,0,0,0,Fungus,Common,Storm Plains,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Glass Ore,0,0,0,18,0,0:0:0:18:0,0:0:0:1:0,18,24,0.750,FALSE,0,0,0,0,0,0,Ores,Common,Bone Wastes,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Gold Dollop,33,33,33,33,0,33:33:33:33:0,1:1:1:1:0,132,176,0.750,FALSE,0,0,0,0,0,0,Slime,Rare,Dragon Oasis,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Golem's-Eye Diamond,0,12,12,0,0,0:12:12:0:0,0:1:1:0:0,24,28,0.857,FALSE,0,0,0,0,0,0,Gem,Uncommon,Bone Wastes,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Golemite,18,12,0,10,0,18:12:0:10:0,9:6:0:5:0,40,38,1.053,FALSE,0,0,0,0,0,0,Mineral,Rare,Bone Wastes,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Griffin's-Whetstone Diamond,0,32,32,0,0,0:32:32:0:0,0:1:1:0:0,64,86,0.744,FALSE,0,0,0,0,0,0,Gem,Common,Ice Craggs,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Guillotine Eel,33,33,33,0,0,33:33:33:0:0,1:1:1:0:0,99,126,0.786,FALSE,0,0,0,0,0,0,Fish,Common,Crater,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Hallucinatory Shroom,0,0,30,0,0,0:0:30:0:0,0:0:1:0:0,30,36,0.833,FALSE,0,5,0,0,0,-5,Fungus,Rare,Shadow Steppe,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Hangman Eel,24,24,24,0,0,24:24:24:0:0,1:1:1:0:0,72,95,0.758,FALSE,0,0,0,0,0,0,Fish,Uncommon,Sulfuric Falls,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Harpy's Heart of Stone,16,0,0,32,0,16:0:0:32:0,1:0:0:2:0,48,76,0.632,FALSE,0,0,5,0,0,0,Flesh,Uncommon,Ice Craggs,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Harpy's Snare,24,24,24,0,24,24:24:24:0:24,1:1:1:0:1,96,150,0.640,FALSE,0,0,0,0,0,0,Plant,Epic,Ice Craggs,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Hellhound Daisy,0,22,0,66,0,0:22:0:66:0,0:1:0:3:0,88,125,0.704,FALSE,0,0,0,0,0,0,Flower,Uncommon,Arctic,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Hoarite,55,55,0,22,0,55:55:0:22:0,5:5:0:2:0,132,167,0.790,FALSE,0,-5,0,0,5,0,Mineral,Rare,Arctic,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Hocus Locust,28,28,140,28,0,28:28:140:28:0,1:1:5:1:0,224,287,0.780,FALSE,0,5,-5,0,0,0,Bug,Epic,Magical Wasteland,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Horned Jelly,18,0,0,0,0,18:0:0:0:0,1:0:0:0:0,18,20,0.900,FALSE,0,0,-5,0,5,0,Slime,Uncommon,Bone Wastes,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
Hydra Vertebra,9,9,9,0,0,9:9:9:0:0,1:1:1:0:0,27,35,0.771,FALSE,0,0,0,0,0,0,Bone,Common,Mushroom Mire,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Icicle Pufferfish,132,0,66,0,0,132:0:66:0:0,2:0:1:0:0,198,210,0.943,FALSE,0,0,0,0,-5,-5,Fish,Uncommon,Arctic,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Impstool Mushroom,0,4,0,0,0,0:4:0:0:0,0:1:0:0:0,4,17,0.235,FALSE,0,0,5,0,0,0,Fungus,Common,Enchanted Forest,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Inverted Brable-Rose,22,0,0,0,0,22:0:0:0:0,1:0:0:0:0,22,46,0.478,FALSE,0,0,5,0,0,5,Flower,Uncommon,Crater,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
Jelly Blossom,0,0,0,0,30,0:0:0:0:30,0:0:0:0:1,30,55,0.545,FALSE,0,0,0,0,0,0,Flower,Rare,Ocean Coasts,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
Jeweled Scarab,0,24,24,24,0,0:24:24:24:0,0:1:1:1:0,72,105,0.686,FALSE,0,0,0,0,0,0,Bug,Common,Crystalline Forest,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Jotunn's Frozen Heart,22,0,0,44,0,22:0:0:44:0,1:0:0:2:0,66,98,0.673,FALSE,0,0,5,0,0,0,Flesh,Uncommon,Arctic,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Kappa Pheromones,4,0,4,0,0,4:0:4:0:0,1:0:1:0:0,8,13,0.615,FALSE,0,0,0,0,0,0,Essences,Uncommon,Enchanted Forest,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Lamia's Shed Scales,0,0,0,48,16,0:0:0:48:16,0:0:0:3:1,64,110,0.582,FALSE,0,0,0,0,0,0,Flesh,Uncommon,Sulfuric Falls,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Lazuli Ore,64,48,0,0,32,64:48:0:0:32,4:3:0:0:2,144,174,0.828,FALSE,0,0,0,0,0,-5,Ores,Rare,Crystalline Forest,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Leech Snail's Shell,12,12,0,0,0,12:12:0:0:0,1:1:0:0:0,24,26,0.923,FALSE,0,0,0,0,0,0,Mineral,Uncommon,Bone Wastes,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Lethal Injection Eel,42,42,42,0,0,42:42:42:0:0,1:1:1:0:0,126,164,0.768,FALSE,0,0,0,0,0,0,Fish,Common,Magical Wasteland,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Lich's Femur,0,0,70,70,28,0:0:70:70:28,0:0:5:5:2,168,247,0.680,FALSE,0,0,0,0,0,0,Bone,Uncommon,Magical Wasteland,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Liquid Metal Ore,0,44,88,0,0,0:44:88:0:0,0:1:2:0:0,132,162,0.815,FALSE,0,0,-5,0,0,0,Ores,Common,Crater,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Lustrous Pearl,0,0,0,32,0,0:0:0:32:0,0:0:0:1:0,32,60,0.533,FALSE,0,0,0,0,5,0,Gem,Common,Crystalline Forest,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Magma Beetle,0,33,33,33,0,0:33:33:33:0,0:1:1:1:0,99,124,0.798,FALSE,0,0,0,0,0,0,Bug,Common,Dragon Oasis,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Malachite Ore,30,10,0,0,20,30:10:0:0:20,3:1:0:0:2,60,93,0.645,FALSE,0,0,0,0,0,0,Ores,Rare,Ocean Coasts,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Mana Blaze,50,40,30,20,10,50:40:30:20:10,5:4:3:2:1,150,234,0.641,FALSE,0,0,5,5,0,0,Pure Mana,Epic,Dragon Oasis,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Mana Conflagration,35,45,55,65,75,35:45:55:65:75,7:9:11:13:15,275,316,0.870,FALSE,0,0,0,-5,-5,0,Pure Mana,Epic,Arctic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Mana Heart,28,28,28,98,28,28:28:28:98:28,2:2:2:7:2,210,450,0.467,FALSE,0,5,0,5,0,0,Pure Mana,Epic,Magical Wasteland,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Mana Maelstrom,98,28,28,28,28,98:28:28:28:28,7:2:2:2:2,210,375,0.560,FALSE,0,0,0,0,5,5,Pure Mana,Epic,Magical Wasteland,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Mana Prism,28,28,98,28,28,28:28:98:28:28,2:2:7:2:2,210,425,0.494,FALSE,0,0,5,0,5,0,Pure Mana,Epic,Magical Wasteland,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Mana Singularity,28,28,28,28,98,28:28:28:28:98,2:2:2:2:7,210,475,0.442,FALSE,0,0,0,5,0,5,Pure Mana,Epic,Magical Wasteland,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Mana Vortex,28,98,28,28,28,28:98:28:28:28,2:7:2:2:2,210,400,0.525,FALSE,0,5,0,0,0,5,Pure Mana,Epic,Magical Wasteland,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Mandragon Root,0,30,0,0,0,0:30:0:0:0,0:1:0:0:0,30,34,0.882,FALSE,0,0,0,0,0,0,Plant,Common,Ocean Coasts,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Mandrake Root,0,6,0,0,0,0:6:0:0:0,0:1:0:0:0,6,6,1.000,TRUE,2,0,0,0,0,0,Plant,Common,Enchanted Forest,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Manwyrm Root,0,18,0,0,0,0:18:0:0:0,0:1:0:0:0,18,14,1.286,FALSE,0,0,0,0,0,0,Plant,Common,Bone Wastes,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Mass Grave Enoki,56,112,112,56,0,56:112:112:56:0,1:2:2:1:0,336,386,0.870,FALSE,0,0,-5,-5,0,0,Fungus,Rare,Magical Wasteland,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Medusa Spore,0,48,0,16,0,0:48:0:16:0,0:3:0:1:0,64,94,0.681,FALSE,0,-5,0,5,0,0,Fungus,Common,Ice Craggs,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Miasma Spore,0,18,0,6,0,0:18:0:6:0,0:3:0:1:0,24,30,0.800,FALSE,0,0,0,0,0,0,Fungus,Uncommon,Mushroom Mire,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Mosquito Plant,10,0,20,0,30,10:0:20:0:30,1:0:2:0:3,60,105,0.571,FALSE,0,0,0,0,0,0,Plant,Epic,Shadow Steppe,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Moss Berries,0,10,0,20,0,0:10:0:20:0,0:1:0:2:0,30,35,0.857,FALSE,0,0,0,0,0,0,Fruit,Common,Mushroom Mire,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Mote of Mana,15,15,15,15,15,15:15:15:15:15,1:1:1:1:1,75,130,0.577,FALSE,0,0,0,0,0,0,Pure Mana,Epic,Shadow Steppe,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Mud Shrimp,6,0,12,0,0,6:0:12:0:0,1:0:2:0:0,18,26,0.692,FALSE,0,0,0,5,0,0,Fish,Rare,Mushroom Mire,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Murkwater Pearl,0,0,0,12,0,0:0:0:12:0,0:0:0:1:0,12,27,0.444,FALSE,0,0,0,0,5,0,Gem,Uncommon,Mushroom Mire,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Naga's Fang,0,48,0,0,16,0:48:0:0:16,0:3:0:0:1,64,98,0.653,FALSE,0,0,-5,0,0,5,Bone,Common,Sulfuric Falls,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Nessie Pheromones,20,0,20,0,0,20:0:20:0:0,1:0:1:0:0,40,50,0.800,FALSE,0,0,0,0,0,0,Essences,Common,Ocean Coasts,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Nether Ore,0,0,22,0,0,0:0:22:0:0,0:0:1:0:0,22,51,0.431,FALSE,0,0,0,5,5,0,Ores,Rare,Arctic,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Nightmare Pomme,0,33,11,0,0,0:33:11:0:0,0:3:1:0:0,44,72,0.611,FALSE,0,0,0,0,5,5,Fruit,Rare,Crater,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Nuclear Shadow,0,70,70,28,0,0:70:70:28:0,0:5:5:2:0,168,228,0.737,FALSE,0,0,5,0,0,0,Essences,Rare,Magical Wasteland,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Ogre's Shadow,32,0,32,0,0,32:0:32:0:0,1:0:1:0:0,64,74,0.865,FALSE,0,0,0,0,0,0,Essences,Common,Crystalline Forest,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Orchid of the Ice Princess,11,33,0,33,0,11:33:0:33:0,1:3:0:3:0,77,116,0.664,FALSE,0,0,0,5,0,0,Flower,Rare,Arctic,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Orchid of the Witch Queen,28,70,0,70,0,28:70:0:70:0,2:5:0:5:0,168,248,0.677,FALSE,0,0,0,5,0,0,Flower,Rare,Magical Wasteland,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Owlbear Pheromones,0,0,0,0,64,0:0:0:0:64,0:0:0:0:1,64,90,0.711,FALSE,0,0,0,-5,0,0,Essences,Uncommon,Crystalline Forest,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
Pandemonium Shroom,66,0,0,0,0,66:0:0:0:0,1:0:0:0:0,66,72,0.917,FALSE,0,5,0,0,0,-5,Fungus,Common,Dragon Oasis,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
Pegasus Mite,96,48,0,0,0,96:48:0:0:0,2:1:0:0:0,144,134,1.075,FALSE,0,0,-5,0,0,-5,Bug,Uncommon,Crystalline Forest,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Phantom Pomme,0,10,30,0,0,0:10:30:0:0,0:1:3:0:0,40,64,0.625,FALSE,0,5,0,0,0,-5,Fruit,Epic,Ocean Coasts,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Phoenix Tear,0,24,24,8,0,0:24:24:8:0,0:3:3:1:0,56,82,0.683,FALSE,0,0,5,0,0,0,Essences,Epic,Crystalline Forest,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Photonic Spore,0,10,0,30,0,0:10:0:30:0,0:1:0:3:0,40,52,0.769,FALSE,0,-5,0,5,0,0,Fungus,Epic,Shadow Steppe,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Pixiedust Diamond,0,4,4,0,0,0:4:4:0:0,0:1:1:0:0,8,14,0.571,FALSE,0,0,0,0,0,0,Gem,Uncommon,Enchanted Forest,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
